league,season,matchday,date,home,away,fth,fta,hth,hta,match_id
el2,2010-11,1,2010-08-07,Accrington Stanley,Aldershot Town,0,0,0,0,1007088
el2,2010-11,1,2010-08-07,Burton Albion,Oxford United,0,0,0,0,1007089
el2,2010-11,1,2010-08-07,Crewe Alexandra,Hereford United,0,1,0,1,1007092
el2,2010-11,1,2010-08-07,FC Bury,FC Port Vale,0,1,0,0,1007090
el2,2010-11,1,2010-08-07,FC Chesterfield,FC Barnet,2,1,1,0,1007091
el2,2010-11,1,2010-08-07,FC Gillingham,Cheltenham Town,1,1,0,0,1007093
el2,2010-11,1,2010-08-07,FC Stevenage,Macclesfield Town,2,2,1,1,1007097
el2,2010-11,1,2010-08-07,Rotherham United,Lincoln City,2,1,1,0,1007094
el2,2010-11,1,2010-08-07,Shrewsbury Town,Bradford City,3,1,1,1,1007095
el2,2010-11,1,2010-08-07,Southend United,Stockport County,1,1,0,0,1007096
el2,2010-11,1,2010-08-07,Torquay United,Northampton Town,3,0,1,0,1007098
el2,2010-11,1,2010-08-07,Wycombe Wanderers,FC Morecambe,2,0,1,0,1007099
el2,2010-11,2,2010-08-14,Aldershot Town,Southend United,1,0,0,0,1007100
el2,2010-11,2,2010-08-14,Bradford City,FC Stevenage,1,0,1,0,1007102
el2,2010-11,2,2010-08-14,Cheltenham Town,Crewe Alexandra,3,2,2,1,1007103
el2,2010-11,2,2010-08-14,FC Barnet,Burton Albion,0,0,0,0,1007101
el2,2010-11,2,2010-08-14,FC Morecambe,Rotherham United,0,0,0,0,1007107
el2,2010-11,2,2010-08-14,FC Port Vale,FC Chesterfield,1,1,1,0,1007110
el2,2010-11,2,2010-08-14,Hereford United,FC Gillingham,0,0,0,0,1007104
el2,2010-11,2,2010-08-14,Lincoln City,Torquay United,0,2,0,1,1007105
el2,2010-11,2,2010-08-14,Macclesfield Town,Shrewsbury Town,0,1,0,1,1007106
el2,2010-11,2,2010-08-14,Northampton Town,Accrington Stanley,0,0,0,0,1007108
el2,2010-11,2,2010-08-14,Oxford United,FC Bury,1,2,1,1,1007109
el2,2010-11,2,2010-08-14,Stockport County,Wycombe Wanderers,0,0,0,0,1007111
el2,2010-11,3,2010-08-21,Accrington Stanley,Macclesfield Town,3,0,2,0,1007112
el2,2010-11,3,2010-08-21,Burton Albion,FC Morecambe,3,2,1,1,1007113
el2,2010-11,3,2010-08-21,Crewe Alexandra,FC Barnet,7,0,2,0,1007116
el2,2010-11,3,2010-08-21,FC Bury,Northampton Town,1,1,0,1,1007114
el2,2010-11,3,2010-08-21,FC Chesterfield,Hereford United,4,0,2,0,1007115
el2,2010-11,3,2010-08-21,FC Gillingham,Lincoln City,0,1,0,1,1007117
el2,2010-11,3,2010-08-21,FC Stevenage,Stockport County,3,1,2,0,1007121
el2,2010-11,3,2010-08-21,Rotherham United,Cheltenham Town,6,4,2,3,1007118
el2,2010-11,3,2010-08-21,Shrewsbury Town,Aldershot Town,1,1,1,1,1007119
el2,2010-11,3,2010-08-21,Southend United,FC Port Vale,1,3,0,1,1007120
el2,2010-11,3,2010-08-21,Torquay United,Bradford City,2,0,1,0,1007122
el2,2010-11,3,2010-08-21,Wycombe Wanderers,Oxford United,0,0,0,0,1007123
el2,2010-11,4,2010-08-27,Bradford City,Southend United,0,2,0,1,1007126
el2,2010-11,4,2010-08-28,Aldershot Town,FC Stevenage,1,1,0,0,1007124
el2,2010-11,4,2010-08-28,Cheltenham Town,Burton Albion,2,1,0,1,1007127
el2,2010-11,4,2010-08-28,FC Barnet,FC Bury,1,1,0,0,1007125
el2,2010-11,4,2010-08-28,FC Morecambe,FC Gillingham,1,1,0,0,1007131
el2,2010-11,4,2010-08-28,FC Port Vale,Torquay United,1,2,1,2,1007134
el2,2010-11,4,2010-08-28,Hereford United,Rotherham United,0,1,0,1,1007128
el2,2010-11,4,2010-08-28,Lincoln City,Crewe Alexandra,1,1,1,1,1007129
el2,2010-11,4,2010-08-28,Macclesfield Town,FC Chesterfield,1,1,0,0,1007130
el2,2010-11,4,2010-08-28,Northampton Town,Wycombe Wanderers,1,1,0,1,1007132
el2,2010-11,4,2010-08-28,Oxford United,Accrington Stanley,0,0,0,0,1007133
el2,2010-11,4,2010-08-28,Stockport County,Shrewsbury Town,0,4,0,1,1007135
el2,2010-11,5,2010-09-04,Accrington Stanley,Wycombe Wanderers,1,1,0,0,1007136
el2,2010-11,5,2010-09-04,Aldershot Town,Northampton Town,1,1,0,1,1007137
el2,2010-11,5,2010-09-04,Bradford City,FC Port Vale,0,2,0,1,1007139
el2,2010-11,5,2010-09-04,Burton Albion,Hereford United,3,0,2,0,1007140
el2,2010-11,5,2010-09-04,FC Barnet,Cheltenham Town,3,1,1,1,1007138
el2,2010-11,5,2010-09-04,FC Bury,FC Gillingham,5,4,2,0,1007141
el2,2010-11,5,2010-09-04,FC Chesterfield,Lincoln City,2,1,1,0,1007142
el2,2010-11,5,2010-09-04,FC Stevenage,Crewe Alexandra,1,1,1,0,1007147
el2,2010-11,5,2010-09-04,Macclesfield Town,Stockport County,0,2,0,1,1007143
el2,2010-11,5,2010-09-04,Oxford United,FC Morecambe,4,0,2,0,1007144
el2,2010-11,5,2010-09-04,Shrewsbury Town,Rotherham United,1,0,1,0,1007145
el2,2010-11,5,2010-09-04,Southend United,Torquay United,2,1,2,0,1007146
el2,2010-11,6,2010-09-11,Cheltenham Town,FC Stevenage,1,0,0,0,1007148
el2,2010-11,6,2010-09-11,Crewe Alexandra,FC Bury,3,0,2,0,1007149
el2,2010-11,6,2010-09-11,FC Gillingham,Shrewsbury Town,2,0,1,0,1007150
el2,2010-11,6,2010-09-11,FC Morecambe,FC Chesterfield,1,1,1,0,1007153
el2,2010-11,6,2010-09-11,FC Port Vale,Aldershot Town,1,0,1,0,1007155
el2,2010-11,6,2010-09-11,Hereford United,Oxford United,0,2,0,1,1007151
el2,2010-11,6,2010-09-11,Lincoln City,FC Barnet,1,0,1,0,1007152
el2,2010-11,6,2010-09-11,Northampton Town,Southend United,2,1,0,0,1007154
el2,2010-11,6,2010-09-11,Rotherham United,Burton Albion,3,3,3,0,1007156
el2,2010-11,6,2010-09-11,Stockport County,Bradford City,1,1,0,0,1007157
el2,2010-11,6,2010-09-11,Torquay United,Accrington Stanley,0,0,0,0,1007158
el2,2010-11,6,2010-09-11,Wycombe Wanderers,Macclesfield Town,1,2,0,2,1007159
el2,2010-11,7,2010-09-17,Accrington Stanley,Lincoln City,3,0,2,0,1007160
el2,2010-11,7,2010-09-18,Aldershot Town,Wycombe Wanderers,0,0,0,0,1007161
el2,2010-11,7,2010-09-18,Bradford City,FC Gillingham,1,0,0,0,1007163
el2,2010-11,7,2010-09-18,Burton Albion,Crewe Alexandra,1,1,1,0,1007164
el2,2010-11,7,2010-09-18,FC Barnet,Rotherham United,1,4,0,0,1007162
el2,2010-11,7,2010-09-18,FC Bury,Hereford United,1,1,0,0,1007165
el2,2010-11,7,2010-09-18,FC Chesterfield,Cheltenham Town,3,0,1,0,1007166
el2,2010-11,7,2010-09-18,FC Stevenage,Torquay United,0,0,0,0,1007171
el2,2010-11,7,2010-09-18,Macclesfield Town,FC Port Vale,0,3,0,1,1007167
el2,2010-11,7,2010-09-18,Oxford United,Stockport County,0,1,0,1,1007168
el2,2010-11,7,2010-09-18,Shrewsbury Town,Northampton Town,3,1,1,1,1007169
el2,2010-11,7,2010-09-18,Southend United,FC Morecambe,2,3,1,2,1007170
el2,2010-11,8,2010-09-25,Cheltenham Town,FC Bury,0,2,0,1,1007172
el2,2010-11,8,2010-09-25,Crewe Alexandra,Oxford United,1,1,1,0,1007173
el2,2010-11,8,2010-09-25,FC Gillingham,Burton Albion,1,0,0,0,1007174
el2,2010-11,8,2010-09-25,FC Morecambe,FC Barnet,2,2,0,0,1007177
el2,2010-11,8,2010-09-25,FC Port Vale,Accrington Stanley,2,0,1,0,1007179
el2,2010-11,8,2010-09-25,Hereford United,Southend United,1,3,1,1,1007175
el2,2010-11,8,2010-09-25,Lincoln City,FC Stevenage,0,1,0,1,1007176
el2,2010-11,8,2010-09-25,Northampton Town,Bradford City,2,0,0,0,1007178
el2,2010-11,8,2010-09-25,Rotherham United,FC Chesterfield,1,0,0,0,1007180
el2,2010-11,8,2010-09-25,Stockport County,Aldershot Town,2,2,0,2,1007181
el2,2010-11,8,2010-09-25,Torquay United,Macclesfield Town,1,3,1,1,1007182
el2,2010-11,8,2010-09-25,Wycombe Wanderers,Shrewsbury Town,2,2,0,0,1007183
el2,2010-11,9,2010-09-28,Cheltenham Town,Oxford United,1,1,1,0,1007184
el2,2010-11,9,2010-09-28,Crewe Alexandra,Macclesfield Town,1,1,0,0,1007185
el2,2010-11,9,2010-09-28,FC Gillingham,Southend United,0,0,0,0,1007186
el2,2010-11,9,2010-09-28,FC Morecambe,FC Bury,1,4,1,2,1007189
el2,2010-11,9,2010-09-28,FC Port Vale,Shrewsbury Town,1,0,0,0,1007191
el2,2010-11,9,2010-09-28,Hereford United,FC Stevenage,1,4,0,1,1007187
el2,2010-11,9,2010-09-28,Lincoln City,Burton Albion,0,0,0,0,1007188
el2,2010-11,9,2010-09-28,Northampton Town,FC Chesterfield,1,2,1,0,1007190
el2,2010-11,9,2010-09-28,Rotherham United,Bradford City,0,0,0,0,1007192
el2,2010-11,9,2010-09-28,Stockport County,Accrington Stanley,2,2,0,1,1007193
el2,2010-11,9,2010-09-28,Torquay United,Aldershot Town,0,1,0,0,1007194
el2,2010-11,9,2010-09-28,Wycombe Wanderers,FC Barnet,4,2,3,0,1007195
el2,2010-11,10,2010-10-02,Accrington Stanley,FC Gillingham,7,4,3,2,1007196
el2,2010-11,10,2010-10-02,Aldershot Town,Cheltenham Town,0,2,0,1,1007197
el2,2010-11,10,2010-10-02,Bradford City,FC Morecambe,0,1,0,1,1007199
el2,2010-11,10,2010-10-02,Burton Albion,Stockport County,2,1,0,1,1007200
el2,2010-11,10,2010-10-02,FC Barnet,Hereford United,2,0,1,0,1007198
el2,2010-11,10,2010-10-02,FC Bury,Rotherham United,1,1,1,0,1007201
el2,2010-11,10,2010-10-02,FC Chesterfield,Crewe Alexandra,5,5,1,4,1007202
el2,2010-11,10,2010-10-02,FC Stevenage,Wycombe Wanderers,0,2,0,2,1007207
el2,2010-11,10,2010-10-02,Macclesfield Town,Northampton Town,2,0,1,0,1007203
el2,2010-11,10,2010-10-02,Oxford United,FC Port Vale,2,1,0,0,1007204
el2,2010-11,10,2010-10-02,Shrewsbury Town,Torquay United,1,1,1,1,1007205
el2,2010-11,10,2010-10-02,Southend United,Lincoln City,1,0,1,0,1007206
el2,2010-11,11,2010-10-09,Burton Albion,Wycombe Wanderers,1,2,0,2,1007209
el2,2010-11,11,2010-10-09,Cheltenham Town,Northampton Town,1,0,0,0,1007211
el2,2010-11,11,2010-10-09,Crewe Alexandra,Torquay United,3,3,1,2,1007213
el2,2010-11,11,2010-10-09,FC Barnet,Bradford City,0,2,0,0,1007208
el2,2010-11,11,2010-10-09,FC Bury,Accrington Stanley,3,0,2,0,1007210
el2,2010-11,11,2010-10-09,FC Chesterfield,Southend United,2,1,1,1,1007212
el2,2010-11,11,2010-10-09,FC Gillingham,Stockport County,2,1,2,0,1007214
el2,2010-11,11,2010-10-09,FC Morecambe,Shrewsbury Town,1,0,0,0,1007217
el2,2010-11,11,2010-10-09,Hereford United,FC Port Vale,1,1,1,1,1007215
el2,2010-11,11,2010-10-09,Lincoln City,Macclesfield Town,2,1,1,0,1007216
el2,2010-11,11,2010-10-09,Oxford United,Aldershot Town,0,1,0,0,1007218
el2,2010-11,11,2010-10-09,Rotherham United,FC Stevenage,1,1,1,0,1007219
el2,2010-11,12,2010-10-16,Accrington Stanley,Rotherham United,2,3,1,1,1007220
el2,2010-11,12,2010-10-16,Aldershot Town,FC Morecambe,2,1,2,0,1007221
