city,model,n,bias,sigma,a,b
Wellington,gfs_seamless,40,-0.965,0.574,0.400,0.1550
Wellington,icon_seamless,40,-0.520,0.545,0.436,0.0852
Wellington,ukmo_seamless,40,-0.548,0.582,0.453,0.1236
Wellington,jma_seamless,40,-0.447,0.937,0.673,0.1478
Wellington,ecmwf_ifs025,40,-0.853,0.629,0.461,0.1333
Wellington,ensemble_mean,40,-0.666,0.518,0.418,0.0894
Tokyo,gfs_seamless,40,-0.020,1.764,1.077,0.1550
Tokyo,icon_seamless,40,-0.742,1.327,0.933,0.0852
Tokyo,ukmo_seamless,40,1.250,1.373,0.844,0.1236
Tokyo,jma_seamless,40,-0.905,1.336,0.898,0.1478
Tokyo,ecmwf_ifs025,40,0.397,1.786,1.148,0.1333
Tokyo,ensemble_mean,40,-0.004,1.138,0.779,0.0894
Seoul,gfs_seamless,40,-5.405,1.305,0.435,0.1550
Seoul,icon_seamless,40,-0.075,1.441,0.958,0.0852
Seoul,ukmo_seamless,40,-4.147,1.584,0.916,0.1236
Seoul,jma_seamless,40,-4.258,1.490,0.675,0.1478
Seoul,ecmwf_ifs025,40,-1.450,1.241,0.536,0.1333
Seoul,ensemble_mean,40,-3.067,1.131,0.597,0.0894
Shanghai,gfs_seamless,40,-1.010,1.434,1.036,0.1550
Shanghai,icon_seamless,40,-1.037,1.582,1.331,0.0852
Shanghai,ukmo_seamless,40,-0.253,1.199,0.877,0.1236
Shanghai,jma_seamless,40,-2.417,2.007,1.536,0.1478
Shanghai,ecmwf_ifs025,40,-1.335,1.591,1.149,0.1333
Shanghai,ensemble_mean,40,-1.210,1.291,1.044,0.0894
Beijing,gfs_seamless,40,1.315,2.209,1.471,0.1550
Beijing,icon_seamless,40,-0.887,1.953,1.548,0.0852
Beijing,ukmo_seamless,40,-0.265,1.778,1.122,0.1236
Beijing,jma_seamless,40,0.635,2.116,1.256,0.1478
Beijing,ecmwf_ifs025,40,-0.145,1.810,1.213,0.1333
Beijing,ensemble_mean,40,0.130,1.387,0.965,0.0894
Kuala Lumpur,gfs_seamless,40,-2.340,1.811,1.010,0.1550
Kuala Lumpur,icon_seamless,40,-0.843,1.442,1.111,0.0852
Kuala Lumpur,ukmo_seamless,40,-0.838,1.447,0.983,0.1236
Kuala Lumpur,jma_seamless,40,-3.552,1.068,0.561,0.1478
Kuala Lumpur,ecmwf_ifs025,40,-1.863,1.027,0.607,0.1333
Kuala Lumpur,ensemble_mean,40,-1.887,1.103,0.767,0.0894
Shenzhen,gfs_seamless,40,0.985,1.917,1.303,0.1550
