city,model,n,bias,sigma,a,b
Wellington,gfs_seamless,40,-0.980,0.720,0.497,0.1434
Wellington,icon_seamless,40,-0.522,0.690,0.447,0.1362
Wellington,ukmo_seamless,40,-0.522,0.696,0.424,0.1584
Wellington,jma_seamless,40,-0.615,1.170,0.803,0.1457
Wellington,ecmwf_ifs025,40,-0.918,0.631,0.399,0.1443
Wellington,ensemble_mean,40,-0.711,0.590,0.417,0.1039
Tokyo,gfs_seamless,40,-0.005,1.979,1.427,0.1434
Tokyo,icon_seamless,40,-0.780,1.623,1.189,0.1362
Tokyo,ukmo_seamless,40,1.080,1.858,1.246,0.1584
Tokyo,jma_seamless,40,-1.345,1.486,1.068,0.1457
Tokyo,ecmwf_ifs025,40,0.467,1.724,1.155,0.1443
Tokyo,ensemble_mean,40,-0.116,1.412,1.063,0.1039
Seoul,gfs_seamless,40,-5.430,1.464,0.694,0.1434
Seoul,icon_seamless,40,0.018,1.607,1.037,0.1362
Seoul,ukmo_seamless,40,-4.083,1.869,1.086,0.1584
Seoul,jma_seamless,40,-4.345,1.770,0.921,0.1457
Seoul,ecmwf_ifs025,40,-1.538,1.464,0.763,0.1443
Seoul,ensemble_mean,40,-3.075,1.305,0.773,0.1039
Shanghai,gfs_seamless,40,-1.208,1.811,1.255,0.1434
Shanghai,icon_seamless,40,-0.995,1.477,1.097,0.1362
Shanghai,ukmo_seamless,40,-0.428,1.697,1.080,0.1584
Shanghai,jma_seamless,40,-2.725,2.257,1.748,0.1457
Shanghai,ecmwf_ifs025,40,-1.445,1.581,1.069,0.1443
Shanghai,ensemble_mean,40,-1.360,1.409,1.075,0.1039
Beijing,gfs_seamless,40,1.323,2.077,1.336,0.1434
Beijing,icon_seamless,40,-0.815,2.208,1.351,0.1362
Beijing,ukmo_seamless,40,-0.060,2.196,1.311,0.1584
Beijing,jma_seamless,40,0.835,3.039,2.060,0.1457
Beijing,ecmwf_ifs025,40,0.143,2.109,1.446,0.1443
Beijing,ensemble_mean,40,0.285,1.642,1.107,0.1039
Kuala Lumpur,gfs_seamless,40,-2.772,1.930,1.213,0.1434
Kuala Lumpur,icon_seamless,40,-0.772,1.250,0.820,0.1362
Kuala Lumpur,ukmo_seamless,40,-1.182,1.358,0.869,0.1584
Kuala Lumpur,jma_seamless,40,-3.598,1.150,0.692,0.1457
Kuala Lumpur,ecmwf_ifs025,40,-2.280,1.326,0.901,0.1443
Kuala Lumpur,ensemble_mean,40,-2.121,1.097,0.773,0.1039
Shenzhen,gfs_seamless,40,0.750,1.944,1.445,0.1434
Shenzhen,icon_seamless,40,-0.358,1.255,0.914,0.1362
Shenzhen,ukmo_seamless,40,0.773,1.468,0.992,0.1584
Shenzhen,jma_seamless,40,-0.365,1.361,0.965,0.1457
Shenzhen,ecmwf_ifs025,40,-0.820,1.189,0.914,0.1443
Shenzhen,ensemble_mean,40,-0.004,1.187,0.916,0.1039
Chengdu,gfs_seamless,40,-1.343,2.884,2.111,0.1434
Chengdu,icon_seamless,40,-0.442,2.314,1.688,0.1362
Chengdu,ukmo_seamless,40,0.125,2.157,1.455,0.1584
Chengdu,jma_seamless,40,-2.255,3.144,2.347,0.1457
Chengdu,ecmwf_ifs025,40,-0.457,2.906,2.121,0.1443
Chengdu,ensemble_mean,40,-0.875,2.122,1.630,0.1039
Karachi,gfs_seamless,40,-1.680,1.060,0.449,0.1434
Karachi,icon_seamless,40,0.175,0.901,0.432,0.1362
Karachi,ukmo_seamless,40,0.920,1.905,1.169,0.1584
Karachi,jma_seamless,40,-1.495,0.964,0.461,0.1457
Karachi,ecmwf_ifs025,40,1.032,1.295,0.712,0.1443
Karachi,ensemble_mean,40,-0.210,1.035,0.616,0.1039
Jeddah,gfs_seamless,40,-0.458,1.423,0.093,0.1434
Jeddah,icon_seamless,40,0.070,1.574,0.315,0.1362
Jeddah,ukmo_seamless,40,1.918,1.529,0.010,0.1584
Jeddah,jma_seamless,40,-6.775,1.585,0.351,0.1457
Jeddah,ecmwf_ifs025,40,2.365,1.747,0.307,0.1443
Jeddah,ensemble_mean,40,-0.576,1.341,0.348,0.1039
Ankara,gfs_seamless,40,-1.180,1.222,0.878,0.1434
Ankara,icon_seamless,40,-0.473,1.084,0.757,0.1362
Ankara,ukmo_seamless,40,-1.460,1.489,1.077,0.1584
Ankara,jma_seamless,40,-0.328,1.189,0.880,0.1457
Ankara,ecmwf_ifs025,40,-1.145,1.297,0.931,0.1443
Ankara,ensemble_mean,40,-0.917,1.109,0.850,0.1039
Helsinki,gfs_seamless,40,0.248,2.009,1.477,0.1434
Helsinki,icon_seamless,40,-0.227,1.458,1.016,0.1362
Helsinki,ukmo_seamless,40,0.115,1.641,1.128,0.1584
Helsinki,jma_seamless,40,-0.460,2.002,1.483,0.1457
Helsinki,ecmwf_ifs025,40,-0.818,1.654,1.111,0.1443
Helsinki,ensemble_mean,40,-0.229,1.454,1.091,0.1039
London,gfs_seamless,40,1.195,1.800,1.130,0.1434
London,icon_seamless,40,-0.183,1.502,0.796,0.1362
London,ukmo_seamless,40,-0.248,1.641,0.821,0.1584
London,jma_seamless,40,-2.833,1.794,1.271,0.1457
London,ecmwf_ifs025,40,0.322,1.840,1.124,0.1443
London,ensemble_mean,40,-0.349,1.325,0.763,0.1039
Paris,gfs_seamless,40,0.943,1.752,1.136,0.1434
