city,model,n,bias,sigma
Wellington,gfs_seamless,700,-1.198,1.093
Wellington,icon_seamless,698,-0.669,1.177
Wellington,ukmo_seamless,529,-0.538,1.248
Wellington,jma_seamless,700,-1.626,1.287
Wellington,ecmwf_ifs025,700,-1.247,1.079
Wellington,ensemble_mean,527,-1.074,0.937
Tokyo,gfs_seamless,700,-0.295,1.324
Tokyo,icon_seamless,698,-0.169,1.301
Tokyo,ukmo_seamless,528,0.083,1.534
Tokyo,jma_seamless,700,-1.069,1.284
Tokyo,ecmwf_ifs025,700,-0.384,1.511
Tokyo,ensemble_mean,526,-0.355,1.056
Seoul,gfs_seamless,700,-2.782,3.098
Seoul,icon_seamless,698,-1.049,1.623
Seoul,ukmo_seamless,528,-2.307,2.880
Seoul,jma_seamless,700,-2.371,3.051
Seoul,ecmwf_ifs025,700,-1.181,1.263
Seoul,ensemble_mean,526,-1.884,2.127
Shanghai,gfs_seamless,700,-0.951,1.395
Shanghai,icon_seamless,698,-1.426,1.413
Shanghai,ukmo_seamless,529,-0.990,1.541
Shanghai,jma_seamless,700,-2.608,2.214
Shanghai,ecmwf_ifs025,700,-1.222,1.350
Shanghai,ensemble_mean,527,-1.451,1.274
Beijing,gfs_seamless,700,-0.225,2.295
Beijing,icon_seamless,698,-1.052,1.542
Beijing,ukmo_seamless,529,-1.230,1.891
Beijing,jma_seamless,700,-0.621,2.145
Beijing,ecmwf_ifs025,700,-1.144,1.702
Beijing,ensemble_mean,527,-0.884,1.447
Kuala Lumpur,gfs_seamless,700,-1.663,1.756
Kuala Lumpur,icon_seamless,698,-0.311,1.427
Kuala Lumpur,ukmo_seamless,529,-0.646,1.609
Kuala Lumpur,jma_seamless,700,-3.627,1.530
Kuala Lumpur,ecmwf_ifs025,700,-1.038,1.651
Kuala Lumpur,ensemble_mean,527,-1.403,1.266
Shenzhen,gfs_seamless,700,1.375,1.467
Shenzhen,icon_seamless,698,-0.947,1.365
Shenzhen,ukmo_seamless,529,0.105,1.474
Shenzhen,jma_seamless,700,-0.924,1.396
Shenzhen,ecmwf_ifs025,700,-0.776,1.315
Shenzhen,ensemble_mean,527,-0.258,1.082
Chengdu,gfs_seamless,700,-1.023,2.109
Chengdu,icon_seamless,698,-0.952,1.694
Chengdu,ukmo_seamless,529,-0.549,1.882
Chengdu,jma_seamless,700,-1.316,2.292
Chengdu,ecmwf_ifs025,700,-0.583,1.773
Chengdu,ensemble_mean,527,-0.896,1.478
