city,model,n,bias,sigma,a,b
Wellington,gfs_seamless,700,-1.197,1.094,,
Wellington,icon_seamless,698,-0.667,1.177,,
Wellington,ukmo_seamless,529,-0.535,1.248,,
Wellington,jma_seamless,700,-1.623,1.289,,
Wellington,ecmwf_ifs025,700,-1.245,1.079,,
Wellington,ensemble_mean,527,-1.071,0.938,0.629,0.1402
Tokyo,gfs_seamless,700,-0.301,1.318,,
Tokyo,icon_seamless,698,-0.172,1.301,,
Tokyo,ukmo_seamless,528,0.078,1.529,,
Tokyo,jma_seamless,700,-1.070,1.284,,
Tokyo,ecmwf_ifs025,700,-0.377,1.521,,
Tokyo,ensemble_mean,526,-0.357,1.054,0.698,0.1402
Seoul,gfs_seamless,700,-2.785,3.101,,
Seoul,icon_seamless,698,-1.049,1.623,,
Seoul,ukmo_seamless,528,-2.315,2.890,,
Seoul,jma_seamless,700,-2.375,3.054,,
Seoul,ecmwf_ifs025,700,-1.186,1.269,,
Seoul,ensemble_mean,526,-1.889,2.132,1.558,0.1402
Shanghai,gfs_seamless,700,-0.951,1.395,,
Shanghai,icon_seamless,698,-1.423,1.414,,
Shanghai,ukmo_seamless,529,-0.989,1.541,,
Shanghai,jma_seamless,700,-2.603,2.214,,
Shanghai,ecmwf_ifs025,700,-1.221,1.350,,
Shanghai,ensemble_mean,527,-1.449,1.274,0.870,0.1402
Beijing,gfs_seamless,700,-0.229,2.300,,
Beijing,icon_seamless,698,-1.056,1.541,,
Beijing,ukmo_seamless,529,-1.222,1.901,,
Beijing,jma_seamless,700,-0.616,2.147,,
Beijing,ecmwf_ifs025,700,-1.140,1.704,,
Beijing,ensemble_mean,527,-0.882,1.448,1.018,0.1402
Kuala Lumpur,gfs_seamless,700,-1.669,1.748,,
Kuala Lumpur,icon_seamless,698,-0.308,1.428,,
Kuala Lumpur,ukmo_seamless,529,-0.650,1.601,,
Kuala Lumpur,jma_seamless,700,-3.628,1.526,,
Kuala Lumpur,ecmwf_ifs025,700,-1.037,1.649,,
Kuala Lumpur,ensemble_mean,527,-1.404,1.262,0.751,0.1402
Shenzhen,gfs_seamless,700,1.376,1.469,,
Shenzhen,icon_seamless,698,-0.946,1.366,,
Shenzhen,ukmo_seamless,529,0.117,1.485,,
Shenzhen,jma_seamless,700,-0.921,1.397,,
Shenzhen,ecmwf_ifs025,700,-0.771,1.314,,
Shenzhen,ensemble_mean,527,-0.253,1.086,0.661,0.1402
Chengdu,gfs_seamless,700,-1.005,2.095,,
Chengdu,icon_seamless,698,-0.933,1.718,,
Chengdu,ukmo_seamless,529,-0.532,1.896,,
Chengdu,jma_seamless,700,-1.315,2.285,,
Chengdu,ecmwf_ifs025,700,-0.575,1.772,,
Chengdu,ensemble_mean,527,-0.881,1.484,1.084,0.1402
Karachi,gfs_seamless,700,-1.018,1.482,,
Karachi,icon_seamless,698,-0.418,1.401,,
Karachi,ukmo_seamless,529,0.417,1.987,,
Karachi,jma_seamless,700,-1.264,1.581,,
Karachi,ecmwf_ifs025,700,0.243,1.582,,
Karachi,ensemble_mean,527,-0.419,1.068,0.584,0.1402
Jeddah,gfs_seamless,700,-1.458,1.328,,
Jeddah,icon_seamless,698,-2.766,3.075,,
Jeddah,ukmo_seamless,528,-0.475,1.947,,
Jeddah,jma_seamless,700,-5.904,2.352,,
Jeddah,ecmwf_ifs025,700,0.633,1.515,,
Jeddah,ensemble_mean,526,-2.065,1.396,0.431,0.1402
Ankara,gfs_seamless,700,-0.615,1.384,,
Ankara,icon_seamless,700,-0.770,1.114,,
Ankara,ukmo_seamless,528,-1.257,1.760,,
Ankara,jma_seamless,700,-0.876,1.588,,
Ankara,ecmwf_ifs025,700,-0.756,1.345,,
Ankara,ensemble_mean,528,-0.835,1.173,0.808,0.1402
Helsinki,gfs_seamless,700,-0.275,1.519,,
Helsinki,icon_seamless,700,-0.670,1.096,,
Helsinki,ukmo_seamless,528,-0.680,1.309,,
Helsinki,jma_seamless,700,-0.648,1.357,,
Helsinki,ecmwf_ifs025,700,-0.896,1.431,,
Helsinki,ensemble_mean,528,-0.606,1.118,0.763,0.1402
London,gfs_seamless,700,-0.121,1.365,,
London,icon_seamless,700,-0.133,1.069,,
London,ukmo_seamless,685,0.081,1.292,,
London,jma_seamless,700,-1.124,1.542,,
London,ecmwf_ifs025,700,-0.390,1.201,,
London,ensemble_mean,685,-0.334,1.018,0.679,0.1402
Paris,gfs_seamless,700,0.004,1.607,,
Paris,icon_seamless,700,-0.084,1.124,,
Paris,ukmo_seamless,685,0.016,1.218,,
Paris,jma_seamless,700,-1.299,1.627,,
Paris,ecmwf_ifs025,700,-0.801,1.271,,
Paris,ensemble_mean,685,-0.427,1.054,0.693,0.1402
Madrid,gfs_seamless,700,-0.595,1.220,,
Madrid,icon_seamless,700,-0.665,1.133,,
Madrid,ukmo_seamless,530,-1.261,1.769,,
Madrid,jma_seamless,700,-1.423,1.523,,
Madrid,ecmwf_ifs025,700,-0.651,1.214,,
Madrid,ensemble_mean,530,-0.856,1.087,0.688,0.1402
Milan,gfs_seamless,700,-1.242,1.530,,
Milan,icon_seamless,700,-0.271,1.260,,
Milan,ukmo_seamless,685,-0.423,1.527,,
