city,model,n,bias,sigma,a,b
Wellington,gfs_seamless,700,-1.171,1.190,0.611,0.2660
Wellington,icon_seamless,700,-0.665,1.239,0.768,0.1961
Wellington,ukmo_seamless,600,-0.530,1.304,0.603,0.2859
Wellington,jma_seamless,700,-1.625,1.298,0.770,0.2597
Wellington,ecmwf_ifs025,700,-1.200,1.089,0.647,0.2098
Wellington,ensemble_mean,600,-1.043,0.994,0.688,0.1442
Tokyo,gfs_seamless,700,-0.297,1.472,0.795,0.2660
Tokyo,icon_seamless,700,-0.148,1.479,0.917,0.1961
Tokyo,ukmo_seamless,600,0.075,1.719,0.855,0.2859
Tokyo,jma_seamless,700,-0.964,1.575,0.790,0.2597
Tokyo,ecmwf_ifs025,700,-0.368,1.614,0.985,0.2098
Tokyo,ensemble_mean,600,-0.314,1.178,0.795,0.1442
Seoul,gfs_seamless,700,-2.813,3.188,2.098,0.2660
Seoul,icon_seamless,700,-1.090,1.694,0.925,0.1961
Seoul,ukmo_seamless,600,-2.644,2.896,1.695,0.2859
Seoul,jma_seamless,700,-2.351,3.129,1.902,0.2597
Seoul,ecmwf_ifs025,700,-1.150,1.412,0.745,0.2098
Seoul,ensemble_mean,600,-2.110,2.166,1.549,0.1442
Shanghai,gfs_seamless,700,-1.008,1.575,0.785,0.2660
Shanghai,icon_seamless,700,-1.499,1.626,1.003,0.1961
Shanghai,ukmo_seamless,600,-0.891,1.677,0.751,0.2859
Shanghai,jma_seamless,700,-2.579,2.427,1.485,0.2597
Shanghai,ecmwf_ifs025,700,-1.223,1.549,0.893,0.2098
Shanghai,ensemble_mean,600,-1.463,1.469,0.987,0.1442
Beijing,gfs_seamless,700,-0.153,2.513,1.444,0.2660
Beijing,icon_seamless,700,-1.106,1.698,0.988,0.1961
Beijing,ukmo_seamless,600,-1.118,2.240,1.007,0.2859
Beijing,jma_seamless,700,-0.446,2.415,1.447,0.2597
Beijing,ecmwf_ifs025,700,-1.163,1.912,1.127,0.2098
Beijing,ensemble_mean,600,-0.719,1.755,1.212,0.1442
Kuala Lumpur,gfs_seamless,700,-1.592,1.791,0.703,0.2660
Kuala Lumpur,icon_seamless,700,-0.095,1.512,0.786,0.1961
Kuala Lumpur,ukmo_seamless,600,-0.793,1.745,0.657,0.2859
Kuala Lumpur,jma_seamless,700,-3.645,1.561,0.600,0.2597
Kuala Lumpur,ecmwf_ifs025,700,-1.349,1.715,0.922,0.2098
Kuala Lumpur,ensemble_mean,600,-1.464,1.388,0.839,0.1442
Shenzhen,gfs_seamless,700,1.206,1.693,0.936,0.2660
Shenzhen,icon_seamless,700,-0.892,1.480,0.849,0.1961
Shenzhen,ukmo_seamless,600,0.201,1.714,0.755,0.2859
Shenzhen,jma_seamless,700,-0.826,1.556,0.761,0.2597
Shenzhen,ecmwf_ifs025,700,-0.702,1.469,0.831,0.2098
Shenzhen,ensemble_mean,600,-0.219,1.267,0.829,0.1442
Chengdu,gfs_seamless,700,-0.912,2.351,1.362,0.2660
Chengdu,icon_seamless,700,-0.807,1.897,1.242,0.1961
Chengdu,ukmo_seamless,600,-0.363,2.122,1.186,0.2859
Chengdu,jma_seamless,700,-1.355,2.498,1.403,0.2597
Chengdu,ecmwf_ifs025,700,-0.407,2.090,1.328,0.2098
Chengdu,ensemble_mean,600,-0.724,1.760,1.270,0.1442
Karachi,gfs_seamless,700,-1.035,1.546,0.768,0.2660
Karachi,icon_seamless,700,-0.354,1.537,0.890,0.1961
Karachi,ukmo_seamless,601,0.639,2.255,0.925,0.2859
Karachi,jma_seamless,700,-1.097,1.603,0.855,0.2597
Karachi,ecmwf_ifs025,700,0.240,1.613,1.027,0.2098
Karachi,ensemble_mean,601,-0.311,1.280,0.801,0.1442
Helsinki,gfs_seamless,700,-0.269,1.743,0.978,0.2660
Helsinki,icon_seamless,700,-0.660,1.423,0.914,0.1961
Helsinki,ukmo_seamless,599,-0.834,1.620,0.827,0.2859
Helsinki,jma_seamless,700,-0.664,1.655,0.926,0.2597
Helsinki,ecmwf_ifs025,700,-0.898,1.649,1.046,0.2098
Helsinki,ensemble_mean,599,-0.675,1.354,0.959,0.1442
London,gfs_seamless,700,-0.041,1.594,0.873,0.2660
London,icon_seamless,700,-0.177,1.313,0.830,0.1961
London,ukmo_seamless,599,-0.695,1.433,0.647,0.2859
London,jma_seamless,700,-1.203,1.654,0.893,0.2597
London,ecmwf_ifs025,700,-0.349,1.378,0.804,0.2098
London,ensemble_mean,599,-0.479,1.195,0.787,0.1442
Paris,gfs_seamless,700,0.023,1.792,1.016,0.2660
Paris,icon_seamless,700,-0.578,1.439,0.853,0.1961
Paris,ukmo_seamless,599,-0.912,1.379,0.657,0.2859
Paris,jma_seamless,700,-1.306,1.698,0.863,0.2597
Paris,ecmwf_ifs025,700,-0.767,1.379,0.785,0.2098
Paris,ensemble_mean,599,-0.726,1.172,0.785,0.1442
Madrid,gfs_seamless,700,-0.548,1.330,0.689,0.2660
Madrid,icon_seamless,700,-0.693,1.276,0.770,0.1961
Madrid,ukmo_seamless,599,-1.232,1.773,0.794,0.2859
Madrid,jma_seamless,700,-1.433,1.652,0.937,0.2597
