city,model,n,bias,sigma
London,gfs_seamless,700,-0.090,1.193
London,icon_seamless,700,0.136,0.952
London,ukmo_seamless,685,0.594,0.970
London,jma_seamless,700,-0.132,1.227
London,ecmwf_ifs025,700,-0.632,1.032
London,ensemble_mean,685,-0.026,0.789
Paris,gfs_seamless,700,0.555,1.700
Paris,icon_seamless,700,0.666,1.248
Paris,ukmo_seamless,685,1.863,1.634
Paris,jma_seamless,700,1.091,1.365
Paris,ecmwf_ifs025,700,-0.109,1.103
Paris,ensemble_mean,685,0.813,1.138
Seoul,gfs_seamless,700,1.744,2.407
Seoul,icon_seamless,698,0.786,1.550
Seoul,ukmo_seamless,528,2.093,1.654
Seoul,jma_seamless,700,1.090,1.951
Seoul,ecmwf_ifs025,700,-0.406,1.196
Seoul,ensemble_mean,526,1.108,1.441
Shanghai,gfs_seamless,700,-0.204,1.510
Shanghai,icon_seamless,698,0.782,1.392
Shanghai,ukmo_seamless,529,0.485,1.166
Shanghai,jma_seamless,700,0.772,1.633
Shanghai,ecmwf_ifs025,700,0.343,1.163
Shanghai,ensemble_mean,527,0.474,1.194
