city,model,n,bias,sigma,a,b
Wellington,gfs_seamless,700,-0.371,1.205,,
Wellington,icon_seamless,698,1.103,1.766,,
Wellington,ukmo_seamless,529,-2.037,1.819,,
Wellington,jma_seamless,700,0.942,1.384,,
Wellington,ecmwf_ifs025,700,0.121,1.085,,
Wellington,ensemble_mean,527,-0.058,1.010,0.651,0.0825
Tokyo,gfs_seamless,700,0.572,1.183,,
Tokyo,icon_seamless,698,-0.622,1.218,,
Tokyo,ukmo_seamless,528,-0.258,1.212,,
Tokyo,jma_seamless,700,-0.777,1.176,,
Tokyo,ecmwf_ifs025,700,-1.932,1.438,,
Tokyo,ensemble_mean,526,-0.615,0.891,0.646,0.0825
Seoul,gfs_seamless,700,1.742,2.408,,
Seoul,icon_seamless,698,0.788,1.548,,
Seoul,ukmo_seamless,528,2.090,1.656,,
Seoul,jma_seamless,700,1.088,1.951,,
Seoul,ecmwf_ifs025,700,-0.406,1.196,,
Seoul,ensemble_mean,526,1.107,1.441,1.132,0.0825
Shanghai,gfs_seamless,700,-0.206,1.511,,
Shanghai,icon_seamless,698,0.783,1.392,,
Shanghai,ukmo_seamless,529,0.484,1.166,,
Shanghai,jma_seamless,700,0.772,1.633,,
Shanghai,ecmwf_ifs025,700,0.343,1.163,,
Shanghai,ensemble_mean,527,0.473,1.195,0.998,0.0825
Beijing,gfs_seamless,700,3.558,2.821,,
Beijing,icon_seamless,698,1.008,1.870,,
Beijing,ukmo_seamless,529,1.318,2.095,,
Beijing,jma_seamless,700,3.555,2.460,,
Beijing,ecmwf_ifs025,700,1.621,2.069,,
Beijing,ensemble_mean,527,2.157,1.864,1.533,0.0825
Kuala Lumpur,gfs_seamless,700,-1.191,1.081,,
Kuala Lumpur,icon_seamless,698,-0.104,1.161,,
Kuala Lumpur,ukmo_seamless,529,0.115,1.243,,
Kuala Lumpur,jma_seamless,700,2.740,1.046,,
Kuala Lumpur,ecmwf_ifs025,700,-1.143,1.046,,
Kuala Lumpur,ensemble_mean,527,0.093,1.053,0.699,0.0825
Shenzhen,gfs_seamless,700,0.430,1.366,,
Shenzhen,icon_seamless,698,-0.134,1.190,,
Shenzhen,ukmo_seamless,529,-0.497,1.291,,
Shenzhen,jma_seamless,700,-0.294,1.462,,
Shenzhen,ecmwf_ifs025,700,-1.243,1.203,,
Shenzhen,ensemble_mean,527,-0.345,1.037,0.847,0.0825
Chengdu,gfs_seamless,700,0.068,1.809,,
Chengdu,icon_seamless,698,-0.282,1.320,,
Chengdu,ukmo_seamless,529,0.816,1.553,,
Chengdu,jma_seamless,700,-0.304,1.649,,
Chengdu,ecmwf_ifs025,700,-1.091,1.561,,
Chengdu,ensemble_mean,527,-0.176,1.193,0.883,0.0825
Karachi,gfs_seamless,700,3.309,3.667,,
Karachi,icon_seamless,698,0.979,1.833,,
Karachi,ukmo_seamless,529,-0.541,1.768,,
Karachi,jma_seamless,700,1.523,2.336,,
Karachi,ecmwf_ifs025,700,-0.130,1.897,,
Karachi,ensemble_mean,527,1.179,2.144,1.756,0.0825
Jeddah,gfs_seamless,700,-1.584,1.167,,
Jeddah,icon_seamless,698,0.542,1.560,,
Jeddah,ukmo_seamless,528,-0.933,1.027,,
Jeddah,jma_seamless,700,1.227,1.717,,
Jeddah,ecmwf_ifs025,700,-1.996,1.006,,
Jeddah,ensemble_mean,526,-0.514,0.956,0.680,0.0825
Ankara,gfs_seamless,700,2.938,2.936,,
Ankara,icon_seamless,700,0.233,1.560,,
Ankara,ukmo_seamless,528,0.241,2.683,,
Ankara,jma_seamless,700,4.417,2.520,,
Ankara,ecmwf_ifs025,700,1.125,2.326,,
Ankara,ensemble_mean,528,1.799,2.093,1.643,0.0825
Helsinki,gfs_seamless,700,0.718,2.236,,
Helsinki,icon_seamless,700,0.860,1.812,,
Helsinki,ukmo_seamless,528,1.531,2.139,,
Helsinki,jma_seamless,700,1.202,2.029,,
Helsinki,ecmwf_ifs025,700,1.005,1.703,,
Helsinki,ensemble_mean,528,1.058,1.778,1.504,0.0825
London,gfs_seamless,700,-0.088,1.193,,
London,icon_seamless,700,0.138,0.951,,
London,ukmo_seamless,685,0.592,0.969,,
London,jma_seamless,700,-0.129,1.228,,
London,ecmwf_ifs025,700,-0.623,1.029,,
London,ensemble_mean,685,-0.023,0.789,0.608,0.0825
Paris,gfs_seamless,700,0.551,1.702,,
Paris,icon_seamless,700,0.664,1.247,,
Paris,ukmo_seamless,685,1.862,1.634,,
Paris,jma_seamless,700,1.092,1.365,,
Paris,ecmwf_ifs025,700,-0.105,1.107,,
Paris,ensemble_mean,685,0.812,1.138,0.910,0.0825
Madrid,gfs_seamless,700,2.502,2.176,,
Madrid,icon_seamless,700,0.553,1.278,,
Madrid,ukmo_seamless,530,0.164,1.776,,
Madrid,jma_seamless,700,1.696,1.783,,
Madrid,ecmwf_ifs025,700,0.384,1.420,,
Madrid,ensemble_mean,530,1.058,1.293,1.023,0.0825
Milan,gfs_seamless,700,1.828,2.699,,
Milan,icon_seamless,700,1.582,1.548,,
Milan,ukmo_seamless,685,2.534,1.632,,
Milan,jma_seamless,700,0.310,2.035,,
Milan,ecmwf_ifs025,700,0.926,1.745,,
