symbol,name,gics_sector,sector_class
MMM,3M,Industrials,ZYKLISCH
AOS,A. O. Smith,Industrials,ZYKLISCH
ABT,Abbott Laboratories,Health Care,DEFENSIV
ABBV,AbbVie,Health Care,DEFENSIV
ACN,Accenture,Information Technology,TECH
ADBE,Adobe Inc.,Information Technology,TECH
AMD,Advanced Micro Devices,Information Technology,TECH
AES,AES Corporation,Utilities,DEFENSIV
AFL,Aflac,Financials,ZYKLISCH
A,Agilent Technologies,Health Care,DEFENSIV
APD,Air Products,Materials,ZYKLISCH
ABNB,Airbnb,Consumer Discretionary,ZYKLISCH
AKAM,Akamai Technologies,Information Technology,TECH
ALB,Albemarle Corporation,Materials,ZYKLISCH
ARE,Alexandria Real Estate Equities,Real Estate,DEFENSIV
ALGN,Align Technology,Health Care,DEFENSIV
ALLE,Allegion,Industrials,ZYKLISCH
LNT,Alliant Energy,Utilities,DEFENSIV
ALL,Allstate,Financials,ZYKLISCH
GOOGL,Alphabet Inc. (Class A),Communication Services,TECH
GOOG,Alphabet Inc. (Class C),Communication Services,TECH
MO,Altria,Consumer Staples,DEFENSIV
AMZN,Amazon,Consumer Discretionary,ZYKLISCH
AMCR,Amcor,Materials,ZYKLISCH
AEE,Ameren,Utilities,DEFENSIV
AEP,American Electric Power,Utilities,DEFENSIV
AXP,American Express,Financials,ZYKLISCH
AIG,American International Group,Financials,ZYKLISCH
AMT,American Tower,Real Estate,DEFENSIV
AWK,American Water Works,Utilities,DEFENSIV
AMP,Ameriprise Financial,Financials,ZYKLISCH
AME,Ametek,Industrials,ZYKLISCH
AMGN,Amgen,Health Care,DEFENSIV
APH,Amphenol,Information Technology,TECH
ADI,Analog Devices,Information Technology,TECH
AON,Aon plc,Financials,ZYKLISCH
APA,APA Corporation,Energy,ZYKLISCH
APO,Apollo Global Management,Financials,ZYKLISCH
AAPL,Apple Inc.,Information Technology,TECH
AMAT,Applied Materials,Information Technology,TECH
APP,AppLovin,Information Technology,TECH
APTV,Aptiv,Consumer Discretionary,ZYKLISCH
ACGL,Arch Capital Group,Financials,ZYKLISCH
ADM,Archer Daniels Midland,Consumer Staples,DEFENSIV
ARES,Ares Management,Financials,ZYKLISCH
ANET,Arista Networks,Information Technology,TECH
AJG,Arthur J. Gallagher & Co.,Financials,ZYKLISCH
AIZ,Assurant,Financials,ZYKLISCH
T,AT&T,Communication Services,TECH
ATO,Atmos Energy,Utilities,DEFENSIV
ADSK,Autodesk,Information Technology,TECH
ADP,Automatic Data Processing,Industrials,ZYKLISCH
AZO,AutoZone,Consumer Discretionary,ZYKLISCH
AVB,AvalonBay Communities,Real Estate,DEFENSIV
AVY,Avery Dennison,Materials,ZYKLISCH
AXON,Axon Enterprise,Industrials,ZYKLISCH
BKR,Baker Hughes,Energy,ZYKLISCH
BALL,Ball Corporation,Materials,ZYKLISCH
BAC,Bank of America,Financials,ZYKLISCH
BAX,Baxter International,Health Care,DEFENSIV
BDX,Becton Dickinson,Health Care,DEFENSIV
BRK-B,Berkshire Hathaway,Financials,ZYKLISCH
BBY,Best Buy,Consumer Discretionary,ZYKLISCH
TECH,Bio-Techne,Health Care,DEFENSIV
BIIB,Biogen,Health Care,DEFENSIV
BLK,BlackRock,Financials,ZYKLISCH
BX,Blackstone Inc.,Financials,ZYKLISCH
XYZ,"Block, Inc.",Financials,ZYKLISCH
BNY,BNY Mellon,Financials,ZYKLISCH
BA,Boeing,Industrials,ZYKLISCH
BKNG,Booking Holdings,Consumer Discretionary,ZYKLISCH
BSX,Boston Scientific,Health Care,DEFENSIV
BMY,Bristol Myers Squibb,Health Care,DEFENSIV
AVGO,Broadcom,Information Technology,TECH
BR,Broadridge Financial Solutions,Industrials,ZYKLISCH
BRO,Brown & Brown,Financials,ZYKLISCH
BF-B,Brown–Forman,Consumer Staples,DEFENSIV
BLDR,Builders FirstSource,Industrials,ZYKLISCH
BG,Bunge Global,Consumer Staples,DEFENSIV
BXP,"BXP, Inc.",Real Estate,DEFENSIV
CHRW,C.H. Robinson,Industrials,ZYKLISCH
CDNS,Cadence Design Systems,Information Technology,TECH
CPT,Camden Property Trust,Real Estate,DEFENSIV
CPB,Campbell's Company (The),Consumer Staples,DEFENSIV
COF,Capital One,Financials,ZYKLISCH
CAH,Cardinal Health,Health Care,DEFENSIV
CCL,Carnival Corporation,Consumer Discretionary,ZYKLISCH
CARR,Carrier Global,Industrials,ZYKLISCH
CVNA,Carvana,Consumer Discretionary,ZYKLISCH
CASY,Casey's,Consumer Staples,DEFENSIV
CAT,Caterpillar Inc.,Industrials,ZYKLISCH
CBOE,Cboe Global Markets,Financials,ZYKLISCH
CBRE,CBRE Group,Real Estate,DEFENSIV
CDW,CDW Corporation,Information Technology,TECH
COR,Cencora,Health Care,DEFENSIV
CNC,Centene Corporation,Health Care,DEFENSIV
CNP,CenterPoint Energy,Utilities,DEFENSIV
CF,CF Industries,Materials,ZYKLISCH
CRL,Charles River Laboratories,Health Care,DEFENSIV
SCHW,Charles Schwab Corporation,Financials,ZYKLISCH
CHTR,Charter Communications,Communication Services,TECH
CVX,Chevron Corporation,Energy,ZYKLISCH
CMG,Chipotle Mexican Grill,Consumer Discretionary,ZYKLISCH
CB,Chubb Limited,Financials,ZYKLISCH
CHD,Church & Dwight,Consumer Staples,DEFENSIV
CIEN,Ciena,Information Technology,TECH
CI,Cigna,Health Care,DEFENSIV
CINF,Cincinnati Financial,Financials,ZYKLISCH
CTAS,Cintas,Industrials,ZYKLISCH
CSCO,Cisco,Information Technology,TECH
C,Citigroup,Financials,ZYKLISCH
CFG,Citizens Financial Group,Financials,ZYKLISCH
CLX,Clorox,Consumer Staples,DEFENSIV
CME,CME Group,Financials,ZYKLISCH
CMS,CMS Energy,Utilities,DEFENSIV
KO,Coca-Cola Company (The),Consumer Staples,DEFENSIV
CTSH,Cognizant,Information Technology,TECH
COHR,Coherent Corp.,Information Technology,TECH
COIN,Coinbase,Financials,ZYKLISCH
CL,Colgate-Palmolive,Consumer Staples,DEFENSIV
CMCSA,Comcast,Communication Services,TECH
FIX,Comfort Systems USA,Industrials,ZYKLISCH
CAG,Conagra Brands,Consumer Staples,DEFENSIV
COP,ConocoPhillips,Energy,ZYKLISCH
ED,Consolidated Edison,Utilities,DEFENSIV
STZ,Constellation Brands,Consumer Staples,DEFENSIV
CEG,Constellation Energy,Utilities,DEFENSIV
COO,Cooper Companies (The),Health Care,DEFENSIV
CPRT,Copart,Industrials,ZYKLISCH
GLW,Corning Inc.,Information Technology,TECH
CPAY,Corpay,Financials,ZYKLISCH
CTVA,Corteva,Materials,ZYKLISCH
CSGP,CoStar Group,Real Estate,DEFENSIV
COST,Costco,Consumer Staples,DEFENSIV
CRH,CRH plc,Materials,ZYKLISCH
CRWD,CrowdStrike,Information Technology,TECH
CCI,Crown Castle,Real Estate,DEFENSIV
CSX,CSX Corporation,Industrials,ZYKLISCH
CMI,Cummins,Industrials,ZYKLISCH
CVS,CVS Health,Health Care,DEFENSIV
DHR,Danaher Corporation,Health Care,DEFENSIV
DRI,Darden Restaurants,Consumer Discretionary,ZYKLISCH
DDOG,Datadog,Information Technology,TECH
DVA,DaVita,Health Care,DEFENSIV
DECK,Deckers Brands,Consumer Discretionary,ZYKLISCH
DE,Deere & Company,Industrials,ZYKLISCH
DELL,Dell Technologies,Information Technology,TECH
DAL,Delta Air Lines,Industrials,ZYKLISCH
DVN,Devon Energy,Energy,ZYKLISCH
DXCM,Dexcom,Health Care,DEFENSIV
FANG,Diamondback Energy,Energy,ZYKLISCH
DLR,Digital Realty,Real Estate,DEFENSIV
DG,Dollar General,Consumer Staples,DEFENSIV
DLTR,Dollar Tree,Consumer Staples,DEFENSIV
D,Dominion Energy,Utilities,DEFENSIV
DPZ,Domino's,Consumer Discretionary,ZYKLISCH
DASH,DoorDash,Consumer Discretionary,ZYKLISCH
DOV,Dover Corporation,Industrials,ZYKLISCH
DOW,Dow Inc.,Materials,ZYKLISCH
DHI,D. R. Horton,Consumer Discretionary,ZYKLISCH
DTE,DTE Energy,Utilities,DEFENSIV
DUK,Duke Energy,Utilities,DEFENSIV
DD,DuPont,Materials,ZYKLISCH
ETN,Eaton Corporation,Industrials,ZYKLISCH
EBAY,eBay Inc.,Consumer Discretionary,ZYKLISCH
SATS,EchoStar,Communication Services,TECH
ECL,Ecolab,Materials,ZYKLISCH
EIX,Edison International,Utilities,DEFENSIV
EW,Edwards Lifesciences,Health Care,DEFENSIV
EA,Electronic Arts,Communication Services,TECH
ELV,Elevance Health,Health Care,DEFENSIV
EME,Emcor,Industrials,ZYKLISCH
EMR,Emerson Electric,Industrials,ZYKLISCH
ETR,Entergy,Utilities,DEFENSIV
EOG,EOG Resources,Energy,ZYKLISCH
EPAM,EPAM Systems,Information Technology,TECH
EQT,EQT Corporation,Energy,ZYKLISCH
EFX,Equifax,Industrials,ZYKLISCH
EQIX,Equinix,Real Estate,DEFENSIV
EQR,Equity Residential,Real Estate,DEFENSIV
ERIE,Erie Indemnity,Financials,ZYKLISCH
ESS,Essex Property Trust,Real Estate,DEFENSIV
EL,Estée Lauder Companies (The),Consumer Staples,DEFENSIV
EG,Everest Group,Financials,ZYKLISCH
EVRG,Evergy,Utilities,DEFENSIV
ES,Eversource Energy,Utilities,DEFENSIV
EXC,Exelon,Utilities,DEFENSIV
EXE,Expand Energy,Energy,ZYKLISCH
EXPE,Expedia Group,Consumer Discretionary,ZYKLISCH
EXPD,Expeditors International,Industrials,ZYKLISCH
EXR,Extra Space Storage,Real Estate,DEFENSIV
XOM,ExxonMobil,Energy,ZYKLISCH
FFIV,"F5, Inc.",Information Technology,TECH
FDS,FactSet,Financials,ZYKLISCH
FICO,Fair Isaac,Information Technology,TECH
FAST,Fastenal,Industrials,ZYKLISCH
